course,category,institution,type,skills,personality,inclination
Singapore Youth AI Competition,Competitions & Events,Post secondary,Competition,"AI/ML, Competition Skills, Data Analysis, Excellence, Mathematical Modeling, Performance Under Pressure, Research",Openness,Investigative
Singapore Youth Entrepreneurship Competition,Competitions & Events,Post secondary,Competition,"Business Management, Competition Skills, Decision Making, Excellence, Leadership, Performance Under Pressure, Strategic Planning",Openness,Enterprising
Singapore Futures Youth Competition,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Investigative
Make The Change Youth Competition,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Investigative
SQL for Data Analysis,Computing & IT,Post secondary,SkillsFuture Course,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Conscientiousness,Investigative
Python for Data Science,Computing & IT,Post secondary,SkillsFuture Course,"Algorithm Design, Critical Thinking, Data Analysis, Data Visualization, Logical Thinking, Problem Solving, Programming, Statistical Analysis",Conscientiousness,Investigative
Tableau Fundamentals,Computing & IT,Post secondary,SkillsFuture Course,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Conscientiousness,Investigative
PowerBI Data Visualization,Computing & IT,Post secondary,SkillsFuture Course,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Openness,Artistic
Big Data Analytics,Computing & IT,Post secondary,SkillsFuture Course,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Conscientiousness,Investigative
Data Management & Analysis,Computing & IT,Post secondary,SkillsFuture Course,"Business Management, Critical Thinking, Data Analysis, Data Visualization, Decision Making, Leadership, Statistical Analysis, Strategic Planning",Conscientiousness,Investigative
Data Visualisation Practicum,Computing & IT,Post secondary,SkillsFuture Course,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Openness,Artistic
Data Analytics for Workplace,Computing & IT,Post secondary,SkillsFuture Course,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Conscientiousness,Investigative
Blockchain Fundamentals,"Business, Finance & Management",Post secondary,SkillsFuture Course,"AI/ML, Data Analysis, Mathematical Modeling, Research",Extraversion,Enterprising
Cryptocurrency Trading,"Business, Finance & Management",Post secondary,SkillsFuture Course,"Business Acumen, Communication, Strategic Thinking",Extraversion,Enterprising
Wealth Management Basics,"Business, Finance & Management",Post secondary,SkillsFuture Course,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Financial Planning,"Business, Finance & Management",Post secondary,SkillsFuture Course,"Business Acumen, Communication, Strategic Thinking",Extraversion,Enterprising
FinTech Applications,"Business, Finance & Management",Post secondary,SkillsFuture Course,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Extraversion,Enterprising
Investment Analysis,"Business, Finance & Management",Post secondary,SkillsFuture Course,"Business Acumen, Communication, Strategic Thinking",Extraversion,Enterprising
Digital Marketing (SEO/SEM),Media & Communication,Post secondary,SkillsFuture Course,"Communication, Creative Thinking, Digital Marketing, Marketing",Openness,Artistic
Social Media Marketing,Media & Communication,Post secondary,SkillsFuture Course,"Communication, Creative Thinking, Digital Marketing, Marketing, Media Production, Research, Writing",Openness,Artistic
E-Commerce Management,Media & Communication,Post secondary,SkillsFuture Course,"Business Management, Decision Making, Leadership, Strategic Planning",Openness,Artistic
Content Marketing,Media & Communication,Post secondary,SkillsFuture Course,"Communication, Creative Thinking, Digital Marketing, Marketing",Openness,Artistic
Google Analytics,Media & Communication,Post secondary,SkillsFuture Course,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Openness,Artistic
Email Marketing,Media & Communication,Post secondary,SkillsFuture Course,"AI/ML, Communication, Creative Thinking, Data Analysis, Digital Marketing, Marketing, Mathematical Modeling, Research",Openness,Artistic
TikTok Shop Marketing,Media & Communication,Post secondary,SkillsFuture Course,"Communication, Creative Thinking, Digital Marketing, Marketing",Openness,Artistic
Influencer Marketing,Media & Communication,Post secondary,SkillsFuture Course,"Communication, Creative Thinking, Digital Marketing, Marketing",Openness,Artistic
UI/UX Design,Media & Communication,Post secondary,SkillsFuture Course,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Augmented Reality (AR),Media & Communication,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Artistic
Virtual Reality (VR),Media & Communication,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Artistic
Social Media Content Creation,Media & Communication,Post secondary,SkillsFuture Course,"Communication, Media Production, Research, Writing",Openness,Artistic
Video Editing,Media & Communication,Post secondary,SkillsFuture Course,"Animation, Storytelling, Technical Skills, Video Editing",Openness,Artistic
Mobile Photography,Media & Communication,Post secondary,SkillsFuture Course,"Creativity, Photography, Technical Skills, Visual Composition",Openness,Artistic
Mobile Videography,Media & Communication,Post secondary,SkillsFuture Course,"Animation, Creativity, Photography, Storytelling, Technical Skills, Video Editing, Visual Composition",Openness,Artistic
Graphic Design with Adobe,Media & Communication,Post secondary,SkillsFuture Course,"Creativity, Design Thinking, Software Proficiency, Visual Communication",Openness,Artistic
Web Design,Media & Communication,Post secondary,SkillsFuture Course,"Algorithm Design, Attention to Detail, CAD Design, Creativity, Design Thinking, Logical Thinking, Problem Solving, Programming, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Ethical Hacking,Security & Safety,Post secondary,SkillsFuture Course,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Openness,Investigative
Cyber Defense,Security & Safety,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Network Security,Security & Safety,Post secondary,SkillsFuture Course,"Cybersecurity, Network Management, Problem Solving, Risk Assessment, Systems Administration, Technical Analysis, Technical Support, Troubleshooting",Openness,Investigative
PDPA Compliance,Security & Safety,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Conventional
Information Security Management,Security & Safety,Post secondary,SkillsFuture Course,"Business Management, Cybersecurity, Decision Making, Leadership, Problem Solving, Risk Assessment, Strategic Planning, Technical Analysis",Openness,Enterprising
Cybersecurity Awareness,Security & Safety,Post secondary,SkillsFuture Course,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Openness,Investigative
Start-up Funding Strategies,Personal Development,Post secondary,SkillsFuture Course,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Business Model Canvas,Personal Development,Post secondary,SkillsFuture Course,"Business Management, Decision Making, Leadership, Strategic Planning",Openness,Enterprising
Pitching & Presentation,Personal Development,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Business Plan Development,Personal Development,Post secondary,SkillsFuture Course,"Business Management, Decision Making, Leadership, Strategic Planning",Openness,Enterprising
Design Thinking for Innovation,Personal Development,Post secondary,SkillsFuture Course,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Lean Start-up Methodology,Personal Development,Post secondary,SkillsFuture Course,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
3D Printing Technology,Advanced Manufacturing,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Realistic
Internet of Things (IoT),Advanced Manufacturing,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Realistic
Industrial Automation,Advanced Manufacturing,Post secondary,SkillsFuture Course,"Automation, Programming, Robotics, Systems Integration",Openness,Realistic
Smart Manufacturing,Advanced Manufacturing,Post secondary,SkillsFuture Course,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Robotics Process Automation,Advanced Manufacturing,Post secondary,SkillsFuture Course,"Automation, Engineering, Problem Solving, Programming, Robotics, Systems Integration",Openness,Realistic
CAD/CAM Design,Advanced Manufacturing,Post secondary,SkillsFuture Course,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Sustainable Energy Management,Sustainability & Environment,Post secondary,SkillsFuture Course,"AI/ML, Business Management, Data Analysis, Decision Making, Leadership, Mathematical Modeling, Research, Strategic Planning",Openness,Enterprising
Green Building Certification,Sustainability & Environment,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Environmental Sustainability,Sustainability & Environment,Post secondary,SkillsFuture Course,"AI/ML, Data Analysis, Mathematical Modeling, Research",Openness,Investigative
Carbon Footprint Management,Sustainability & Environment,Post secondary,SkillsFuture Course,"Business Management, Decision Making, Leadership, Strategic Planning",Openness,Enterprising
Circular Economy Principles,Sustainability & Environment,Post secondary,SkillsFuture Course,"Adaptability, Critical Thinking, Learning",Openness,Investigative
